District,County
Plymouth Educational Center Charter School,Wayne
Plymouth Scholars Charter Academy,Wayne
Plymouth-Canton Community Schools,Wayne
Quest Charter Academy,Wayne
"Redford Union Schools, District No. 1",Wayne
Regent Park Scholars Charter Academy,Wayne
"River Rouge, School District Of The City Of",Wayne
Riverside Academy,Wayne
Riverview Community School District,Wayne
Romulus Community Schools,Wayne
Ross-Hill Academy,Wayne
Rutherford Winans Academy,Wayne
South Canton Scholars Charter Academy,Wayne
South Redford School District,Wayne
Southgate Community School District,Wayne
Southwest Detroit Lighthouse Charter Academy,Wayne
Star International Academy,Wayne
Starr Detroit Academy,Wayne
Summit Academy,Wayne
Summit Academy North,Wayne
Taylor Exemplar Academy,Wayne
Taylor Preparatory High School,Wayne
Taylor School District,Wayne
The Dearborn Academy,Wayne
The James And Grace Lee Boggs School,Wayne
Timbuktu Academy Of Science And Technology,Wayne
Tipton Academy,Wayne
Trenton Public Schools,Wayne
Trillium Academy,Wayne
Universal Academy,Wayne
Universal Learning Academy,Wayne
University Preparatory Academy (Psad),Wayne
University Preparatory Science And Math (PSAD),Wayne
University Yes Academy,Wayne
Van Buren Public Schools,Wayne
Vista Meadows Academy,Wayne
Voyageur Academy,Wayne
W-A-Y Academy,Wayne
Warrendale Charter Academy,Wayne
Washington-Parks Academy,Wayne
Wayne-Westland Community School District,Wayne
West Village Academy,Wayne
Weston Preparatory Academy,Wayne
Westwood Community School District,Wayne
Wolverine Academy (Sda),Wayne
Woodhaven-Brownstown School District,Wayne
Woodward Academy,Wayne
"Wyandotte, School District Of The City Of",Wayne
Buckley Community Schools,Wexford
Cadillac Area Public Schools,Wexford
Manton Consolidated Schools,Wexford
Mesick Consolidated Schools,Wexford
Wexford-Missaukee Independent School District,Wexford
